# tx,ty,tz,qx,qy,qz,qw
0.774178,0.022265,-0.000002,0.000000,-0.000060,0.021969,0.999759
0.796511,0.023451,-0.000003,0.000164,-0.001165,0.024080,0.999709
0.902529,0.028440,-0.000007,0.000001,-0.000094,0.024576,0.999698
1.057463,0.043442,-0.000027,-0.000022,0.000482,0.025489,0.999675
1.110918,0.046200,-0.000038,-0.000011,-0.000132,0.025597,0.999672
1.386667,0.052801,-0.000001,0.000019,-0.000225,0.024530,0.999699
1.568983,0.061894,-0.000007,-0.000006,-0.000069,0.024735,0.999694
1.639438,0.062316,-0.000013,-0.000067,-0.000100,0.024743,0.999694
1.641014,0.061715,-0.000013,-0.000000,0.000010,-0.007651,0.999971
1.640944,0.061702,-0.000013,-0.000018,0.000001,-0.130183,0.991490
1.639872,0.063238,-0.000000,0.000024,-0.000033,-0.262842,0.964839
1.639876,0.063370,0.000000,0.000016,0.000018,-0.351221,0.936293
1.639971,0.063460,0.000000,-0.000052,0.000017,-0.475611,0.879655
1.637295,0.061940,0.000000,-0.000004,0.000003,-0.574153,0.818748
1.637244,0.062062,0.000000,0.000004,0.000027,-0.635476,0.772120
1.630532,0.068797,0.000000,-0.000018,0.000004,-0.698977,0.715145
1.630533,0.068789,0.000000,-0.000020,0.000006,-0.698938,0.715183
1.630534,0.068787,0.000000,-0.000022,0.000006,-0.698728,0.715388
1.630538,0.068780,0.000000,-0.000021,0.000004,-0.698523,0.715588
1.630539,0.068777,0.000000,-0.000020,0.000005,-0.698495,0.715615
1.630541,0.068774,0.000000,-0.000021,0.000006,-0.698788,0.715328
1.630546,0.068763,-0.000000,-0.000020,0.000006,-0.698598,0.715514
1.630545,0.068759,-0.000000,-0.000021,0.000006,-0.698644,0.715469
1.655458,0.069555,-0.000001,-0.000427,0.000400,-0.699079,0.715044
1.829343,0.073522,-0.000007,-0.000015,0.000007,-0.699055,0.715068
1.873326,0.041434,0.000045,0.000902,-0.000730,-0.702449,0.711733
1.873346,0.038762,0.000045,0.000925,-0.000867,-0.702441,0.711741
1.873819,0.001833,0.000036,0.000957,-0.000831,-0.702401,0.711780
1.875146,-0.091584,0.000015,0.000905,-0.000870,-0.702434,0.711747
