# tx,ty,tz,qx,qy,qz,qw
0.470945,0.966717,-0.000794,0.000580,0.005910,0.710739,0.703431
0.470945,0.966705,-0.000794,0.000667,0.005830,0.710740,0.703430
0.470926,0.966666,-0.000793,0.000797,0.005428,0.710744,0.703430
0.470927,0.966709,-0.000794,0.000513,0.005736,0.710741,0.703431
0.470928,0.966693,-0.000794,0.000625,0.005631,0.710742,0.703430
0.470932,0.966688,-0.000794,0.000697,0.005623,0.710742,0.703430
0.470953,0.966714,-0.000794,0.000660,0.005947,0.710739,0.703430
0.470949,0.966715,-0.000794,0.000623,0.005927,0.710739,0.703431
0.470936,0.966741,-0.000794,0.000359,0.006022,0.710738,0.703431
0.470974,0.966760,-0.000795,0.000485,0.006416,0.710734,0.703431
0.470975,0.966738,-0.000794,0.000641,0.006270,0.710736,0.703431
0.470985,0.966725,-0.000794,0.000801,0.006250,0.710736,0.703431
0.470382,1.020810,-0.001170,0.001773,0.005335,0.706910,0.707281
0.463024,1.202153,-0.000075,0.000315,-0.000152,0.705112,0.709096
0.455630,1.383307,0.000062,-0.000458,-0.000109,0.702782,0.711405
0.460470,1.571455,-0.000131,-0.000580,-0.000544,0.698036,0.716062
0.449682,1.761996,-0.000065,-0.000775,0.000927,0.699730,0.714406
0.465605,1.916815,0.000182,-0.000074,-0.000510,0.696669,0.717393
0.451028,2.139307,0.000198,-0.000293,-0.000499,0.709493,0.704712
0.438602,2.335240,0.000039,0.000736,-0.000531,0.775744,0.631047
0.382109,2.504762,-0.000013,-0.000745,-0.000986,0.853348,0.521340
0.289702,2.641183,-0.000299,0.000899,-0.000137,0.906172,0.422908
0.141708,2.756737,-0.000414,0.000883,-0.000353,0.971396,0.237465
-0.013064,2.794966,-0.000640,-0.002319,0.000018,0.999749,0.022296
-0.197501,2.792678,0.000069,-0.001349,-0.000497,0.999928,-0.011904
-0.365811,2.780763,0.000423,0.000049,0.000467,0.999940,-0.010958
-0.520917,2.775601,0.000809,0.000422,0.000803,0.999387,-0.035002
-0.675820,2.762957,0.000907,0.000236,0.000617,0.998289,-0.058462
-0.786871,2.747070,0.000392,0.000135,0.001015,0.999682,-0.025213
-0.887337,2.742070,0.000964,-0.001221,0.001020,0.999767,-0.021528
-0.985176,2.726786,0.000551,0.000019,0.000681,0.999757,-0.022023
-1.080199,2.720704,0.001249,0.001280,0.000062,0.996773,-0.080257
-1.164184,2.710502,0.000367,-0.000064,0.001349,0.994489,-0.104828
-1.267224,2.688528,0.000959,-0.000577,0.000594,0.994376,-0.105904
-1.350786,2.658159,0.000337,-0.000293,0.000056,0.980377,-0.197132
-1.436974,2.612587,0.000585,-0.001199,-0.000217,0.931280,-0.364303
-1.503370,2.546713,0.000000,0.001242,0.001581,-0.836736,0.547602
-1.544941,2.423272,0.000010,-0.000871,0.000217,-0.789725,0.613460
-1.583195,2.272985,0.000013,-0.000215,0.000353,-0.792439,0.609951
-1.615729,2.145762,0.000064,0.000441,0.000992,-0.788738,0.614728
-1.639465,2.071372,0.000079,0.000594,0.001083,-0.779212,0.626759
-1.643334,2.051785,0.000153,0.000202,0.002121,-0.747026,0.664791
-1.643305,2.051813,0.000153,-0.000074,0.002182,-0.746850,0.664989
-1.643029,2.051989,0.000149,0.000646,0.002647,-0.735112,0.677940
-1.645162,2.002012,0.000244,-0.000657,0.003259,-0.701949,0.712220
-1.644397,1.930991,0.000331,-0.000224,0.002436,-0.700521,0.713628
-1.635900,1.805331,0.000432,0.000267,0.000357,-0.699307,0.714821
-1.633505,1.678159,0.000939,0.000838,0.000777,-0.699836,0.714302
-1.632283,1.537325,0.001030,-0.001009,0.000235,-0.699998,0.714144
-1.616783,1.399930,0.000381,-0.000129,0.000347,-0.701517,0.712652
-1.614703,1.267708,0.001105,-0.001924,-0.001357,-0.701856,0.712315
-1.595817,1.130016,0.000110,0.000076,0.000134,-0.700701,0.713455
-1.579840,0.987776,-0.000052,0.000296,0.000476,-0.695021,0.718989
-1.572734,0.867860,-0.000160,0.000442,-0.000207,-0.683096,0.730328
-1.563426,0.757483,0.000037,0.001217,-0.000302,-0.679367,0.733797
-1.550454,0.649260,0.000055,0.001024,-0.000473,-0.657164,0.753746
-1.541404,0.534565,0.000062,-0.000765,-0.000991,-0.659495,0.751708
-1.537997,0.425347,-0.000101,0.000042,0.000554,-0.678858,0.734269
-1.530437,0.328543,-0.000459,0.002124,0.000671,-0.679309,0.733849
-1.530668,0.331730,-0.000447,0.001700,0.000525,-0.678406,0.734685
-1.530709,0.331928,-0.000447,0.001339,-0.000220,-0.678427,0.734667
-1.530685,0.332079,-0.000446,0.000895,-0.000192,-0.678353,0.734736
-1.530701,0.332079,-0.000446,0.001030,-0.000273,-0.678354,0.734734
-1.530687,0.332078,-0.000446,0.000937,-0.000167,-0.678355,0.734734
-1.530707,0.332073,-0.000446,0.001111,-0.000278,-0.678355,0.734734
-1.530692,0.332129,-0.000446,0.000612,-0.000535,-0.678351,0.734738
-1.530668,0.332123,-0.000446,0.000490,-0.000325,-0.678352,0.734737
